event_date,event_type,Arrested ,Total Cases,location
8/1/2021,Violence against civilians,10,37,Savar
8/1/2021,Violence against civilians,10,37,Basurhat
8/1/2021,Violence against civilians,11,47,Sonargaon
8/1/2021,Riots,6,15,Sreebardi
8/1/2021,Violence against civilians,10,37,Lakshmipur
8/1/2021,Riots,12,57,Gaibandha
8/1/2021,Riots,12,57,Gaibandha
8/1/2021,Riots,12,57,Sreemangal
8/1/2021,Violence against civilians,10,37,Khulna
8/1/2021,Riots,6,15,Teknaf
8/1/2021,Violence against civilians,10,37,Kushtia
7/1/2021,Riots,10,55,Brahmanbaria
7/1/2021,Riots,10,55,Jhenaidah
7/1/2021,Violence against civilians,10,37,Bogra
7/1/2021,Riots,12,57,Bakshiganj
7/1/2021,Riots,12,57,Dhaka - Mirpur
7/1/2021,Riots,12,57,Kishoreganj
7/1/2021,Violence against civilians,10,37,Kalapara
7/1/2021,Violence against civilians,10,37,Shailkupa
7/1/2021,Violence against civilians,10,37,Dighalia
7/1/2021,Violence against civilians,10,37,Araihazar
7/1/2021,Battles,6,33,Parameshwardi
7/1/2021,Riots,10,55,Shailkupa
7/1/2021,Violence against civilians,10,37,Sreepur
7/1/2021,Riots,12,57,Hakimpur
7/1/2021,Riots,12,57,Bauphal
7/1/2021,Riots,6,15,Gazipur
7/1/2021,Violence against civilians,10,37,Panchhari
7/1/2021,Riots,12,57,Gaibandha
7/1/2021,Violence against civilians,11,47,Kalkini
7/1/2021,Riots,10,55,Dumki
7/1/2021,Riots,10,55,Barisal
7/1/2021,Riots,12,57,Gosairhat
7/1/2021,Violence against civilians,15,78,Aditmari
7/1/2021,Riots,10,55,Godagari
7/1/2021,Riots,10,55,Rupganj
7/1/2021,Violence against civilians,8,17,Sulla
7/1/2021,Riots,13,58,Kalapara
7/1/2021,Riots,5,50,Madhukhali
7/1/2021,Violence against civilians,10,37,Fulchhari
7/1/2021,Riots,12,57,Hatibandha
7/1/2021,Riots,6,15,Jessore
7/1/2021,Riots,6,15,Narayanganj
7/1/2021,Battles,6,33,Kaptai
7/1/2021,Riots,10,55,Rupganj
7/1/2021,Violence against civilians,10,37,Chakaria
7/1/2021,Riots,12,57,Sreepur
7/1/2021,Riots,12,57,Pabna
7/1/2021,Riots,12,57,Chandpur
7/1/2021,Riots,12,57,Matlab Uttar
7/1/2021,Riots,12,57,Naria
7/1/2021,Violence against civilians,8,17,Barisal
7/1/2021,Battles,6,33,Basurhat
6/1/2021,Riots,10,55,Rajshahi
6/1/2021,Riots,10,55,Bauphal
6/1/2021,Riots,12,57,Khanshama
6/1/2021,Riots,10,55,Binodepur
6/1/2021,Violence against civilians,10,37,Dighinala
6/1/2021,Riots,12,57,Chittagong
6/1/2021,Riots,12,57,Harirampur
6/1/2021,Riots,10,55,Galachipa
6/1/2021,Violence against civilians,10,37,Kalapara
6/1/2021,Riots,10,55,Kathalia
6/1/2021,Riots,12,57,Amtali
6/1/2021,Riots,10,55,Gaurnadi
6/1/2021,Riots,10,55,Char Fasson
6/1/2021,Riots,12,57,Bauphal
6/1/2021,Riots,12,57,Mathbaria
6/1/2021,Riots,10,55,Kaliganj
6/1/2021,Riots,12,57,Mohammadpur
6/1/2021,Riots,12,57,Gaurnadi
6/1/2021,Violence against civilians,10,37,Rowangchhari
6/1/2021,Riots,6,15,Dhaka - Paltan
6/1/2021,Riots,6,15,Mymensingh
6/1/2021,Violence against civilians,8,17,Chittagong
6/1/2021,Riots,12,57,Basurhat
6/1/2021,Riots,10,55,Chittagong
6/1/2021,Battles,6,33,Madhabdi
6/1/2021,Violence against civilians,11,47,Khoksa
6/1/2021,Violence against civilians,11,47,Palash
6/1/2021,Riots,10,55,Gazaria
6/1/2021,Violence against civilians,10,37,Juraichhari
6/1/2021,Riots,6,15,Ashulia
6/1/2021,Riots,12,57,Basurhat
6/1/2021,Riots,10,55,Madaripur
6/1/2021,Riots,6,15,Basurhat
6/1/2021,Riots,10,55,Chittagong
6/1/2021,Violence against civilians,10,37,Amtali
6/1/2021,Violence against civilians,10,37,Hatiya
6/1/2021,Riots,6,15,Sunamganj
6/1/2021,Riots,5,50,Baraitali
6/1/2021,Riots,5,50,Harbang
6/1/2021,Riots,5,50,Chakaria
6/1/2021,Riots,5,50,Lakhyarchar
6/1/2021,Riots,5,50,Dulahazara
6/1/2021,Riots,5,50,Pekua
6/1/2021,Riots,5,50,Taitong
6/1/2021,Riots,5,50,Magnama
6/1/2021,Riots,5,50,Khuntakhali
6/1/2021,Riots,10,55,Ramgati
6/1/2021,Riots,12,57,Belabo
6/1/2021,Riots,10,55,Bajitpur
6/1/2021,Violence against civilians,10,37,Madaripur
6/1/2021,Riots,12,57,Daulatpur
6/1/2021,Riots,10,55,Tarail
6/1/2021,Riots,10,55,Bogra
6/1/2021,Riots,10,55,Sylhet
6/1/2021,Riots,12,57,Dhaka
6/1/2021,Riots,10,55,Naria
5/1/2021,Violence against civilians,11,47,Rangunia
5/1/2021,Battles,6,33,Cox's Bazar
5/1/2021,Violence against civilians,11,47,Sonagazi
5/1/2021,Riots,6,15,Bhasan Char
5/1/2021,Violence against civilians,10,37,Sherpur
5/1/2021,Violence against civilians,10,37,Shajahanpur
5/1/2021,Violence against civilians,10,37,Basurhat
5/1/2021,Riots,12,57,Shariatpur
5/1/2021,Violence against civilians,10,37,Bheramara
5/1/2021,Riots,12,57,Barisal
5/1/2021,Riots,12,57,Mirsharai
5/1/2021,Riots,12,57,Daudkandi
5/1/2021,Riots,10,55,Senbagh
5/1/2021,Riots,12,57,Companiganj
5/1/2021,Violence against civilians,11,47,Boalkhali
5/1/2021,Violence against civilians,15,78,Aditmari
5/1/2021,Riots,10,55,Kendua
5/1/2021,Riots,10,55,Kotchandpur
5/1/2021,Violence against civilians,10,37,Lalpur
5/1/2021,Violence against civilians,10,37,Companiganj
5/1/2021,Violence against civilians,10,37,Lalpur
5/1/2021,Violence against civilians,10,37,Kumarkhali
5/1/2021,Riots,10,55,Kumarkhali
5/1/2021,Riots,10,55,Ulania
5/1/2021,Riots,12,57,Companiganj
5/1/2021,Riots,12,57,Narayanganj
5/1/2021,Riots,6,15,Debidwar
5/1/2021,Riots,10,55,Boalmari
5/1/2021,Riots,10,55,Sonatala
5/1/2021,Riots,12,57,Satgoan
5/1/2021,Riots,10,55,Raipura
5/1/2021,Violence against civilians,11,47,Rajapur
5/1/2021,Battles,6,33,Narsingdi
5/1/2021,Violence against civilians,11,47,Patiya
5/1/2021,Riots,10,55,Hizla
5/1/2021,Violence against civilians,11,47,Baghmara
5/1/2021,Violence against civilians,10,37,Kutupalong
5/1/2021,Battles,8,44,Shibchar
5/1/2021,Battles,6,33,Raipura
5/1/2021,Riots,10,55,Pirojpur
5/1/2021,Riots,10,55,Kathalbari
5/1/2021,Riots,6,15,Raipura
5/1/2021,Violence against civilians,11,47,Basurhat
5/1/2021,Battles,4,13,Ruma
5/1/2021,Riots,12,57,Galachipa
5/1/2021,Riots,6,15,Tongi
5/1/2021,Riots,10,55,Dhaka
5/1/2021,Riots,10,55,Hatibandha
5/1/2021,Riots,5,50,Dhaka - Mirpur
5/1/2021,Riots,10,55,Chittagong
5/1/2021,Riots,10,55,Shibchar
5/1/2021,Riots,10,55,Hatiya
5/1/2021,Riots,10,55,Keshabpur
5/1/2021,Riots,10,55,Basurhat
5/1/2021,Riots,10,55,Kalapara
5/1/2021,Riots,10,55,Rajshahi
5/1/2021,Violence against civilians,10,37,Kumarkhali
5/1/2021,Violence against civilians,10,37,Tahirpur
5/1/2021,Violence against civilians,11,47,Jaintiapur
5/1/2021,Riots,12,57,Chakaria
5/1/2021,Riots,12,57,Kushtia
5/1/2021,Riots,6,15,Ukhiya
5/1/2021,Battles,8,44,Bishwanath
5/1/2021,Riots,12,57,Phulbari
5/1/2021,Riots,5,50,Sylhet
5/1/2021,Riots,12,57,Basurhat
4/1/2021,Riots,10,55,Basurhat
4/1/2021,Battles,4,13,Rowangchhari
4/1/2021,Violence against civilians,8,17,Kumarkhali
4/1/2021,Riots,10,55,Kumarkhali
4/1/2021,Riots,12,57,Dakshin Surma
4/1/2021,Violence against civilians,10,37,Jessore
4/1/2021,Riots,12,57,Singra
4/1/2021,Violence against civilians,11,47,Companiganj
4/1/2021,Riots,12,57,Jessore
4/1/2021,Riots,10,55,Chittagong
4/1/2021,Riots,12,57,Bauphal
4/1/2021,Riots,12,57,Jessore
4/1/2021,Riots,12,57,Kaliganj
4/1/2021,Riots,12,57,Basurhat
4/1/2021,Riots,12,57,Tarash
4/1/2021,Riots,10,55,Gangni
4/1/2021,Riots,10,55,Daulatpur
4/1/2021,Battles,7,34,Pekua
4/1/2021,Battles,8,44,Bajitpur
4/1/2021,Riots,12,57,Bijoynagar
4/1/2021,Violence against civilians,10,37,Dhaka
4/1/2021,Riots,10,55,Shailkupa
4/1/2021,Riots,10,55,Lohagara
4/1/2021,Riots,10,55,Niamatpur
4/1/2021,Riots,12,57,Muladi
4/1/2021,Riots,6,15,Mollahat
4/1/2021,Riots,6,15,Kaliakair
4/1/2021,Riots,10,55,Kumarkhali
4/1/2021,Violence against civilians,10,37,Basurhat
4/1/2021,Riots,12,57,Basurhat
4/1/2021,Riots,10,55,Mirpur
4/1/2021,Riots,12,57,Kalihati
4/1/2021,Riots,10,55,Bhairab
4/1/2021,Riots,6,15,Gandamara
4/1/2021,Riots,10,55,Saghatta
4/1/2021,Violence against civilians,11,47,Barhatta
4/1/2021,Riots,12,57,Kalkini
4/1/2021,Riots,12,57,Nakla
4/1/2021,Riots,12,57,Jagannathpur
4/1/2021,Violence against civilians,11,47,Shariatpur
4/1/2021,Riots,10,55,Basurhat
4/1/2021,Violence against civilians,8,17,Lalmonirhat
4/1/2021,Riots,10,55,Bauphal
4/1/2021,Riots,6,15,Chandgaon
4/1/2021,Violence against civilians,8,17,Chittagong
4/1/2021,Riots,12,57,Kaliganj
4/1/2021,Violence against civilians,10,37,Raozan
4/1/2021,Riots,10,55,Shibchar
4/1/2021,Riots,12,57,Tahirpur
4/1/2021,Violence against civilians,10,37,Bhanga
4/1/2021,Riots,5,50,Chandgaon
4/1/2021,Riots,12,57,Shyamnagar
4/1/2021,Riots,10,55,Kushtia
4/1/2021,Riots,12,57,Juri
4/1/2021,Riots,12,57,Rangpur
4/1/2021,Riots,12,57,Lakhai
4/1/2021,Violence against civilians,11,47,Nhila
4/1/2021,Violence against civilians,11,47,Pekua
4/1/2021,Riots,10,55,Ulania
4/1/2021,Riots,10,55,Dhaka
4/1/2021,Violence against civilians,11,47,Hizla
4/1/2021,Violence against civilians,10,37,Teknaf
4/1/2021,Riots,10,55,Madhabpur
4/1/2021,Violence against civilians,10,37,Gaibandha
4/1/2021,Violence against civilians,15,78,Phulbari
4/1/2021,Violence against civilians,10,37,Saghatta
4/1/2021,Riots,10,55,Lalmonirhat
4/1/2021,Riots,10,55,Chapai Nababganj
4/1/2021,Riots,12,57,Rangpur
4/1/2021,Battles,6,33,Khoksa
4/1/2021,Riots,12,57,Nasirnagar
4/1/2021,Riots,12,57,Lalmonirhat
4/1/2021,Riots,5,50,Chandina
4/1/2021,Riots,10,55,Khoksa
4/1/2021,Riots,10,55,Madanpur
4/1/2021,Riots,5,50,Hatiya
4/1/2021,Explosions/Remote violence,10,37,Munshiganj
4/1/2021,Riots,5,50,Chaumohani
4/1/2021,Riots,12,57,Kalapara
4/1/2021,Riots,6,15,Saltha
4/1/2021,Violence against civilians,8,17,Saltha
4/1/2021,Violence against civilians,10,37,Sonargaon
4/1/2021,Violence against civilians,8,17,Kalapara
4/1/2021,Violence against civilians,11,47,Matiranga
4/1/2021,Riots,10,55,Nalchity
4/1/2021,Riots,6,15,Dhaka
4/1/2021,Riots,6,15,Chhatak
4/1/2021,Riots,12,57,Rangunia
4/1/2021,Riots,12,57,Sonargaon
4/1/2021,Riots,12,57,Bara Maheskhali
4/1/2021,Riots,6,15,Kalarmarchhara
4/1/2021,Riots,12,57,Kuliarchar
4/1/2021,Riots,12,57,Kapasia
4/1/2021,Riots,6,15,Gazipur
4/1/2021,Riots,10,55,Shibchar
4/1/2021,Riots,10,55,Debidwar
4/1/2021,Riots,10,55,Santhia
4/1/2021,Riots,10,55,Mollahat
4/1/2021,Riots,10,55,Mirpur
3/1/2021,Violence against civilians,10,37,Baghaichhari
3/1/2021,Violence against civilians,10,37,Goalandaghat
3/1/2021,Riots,12,57,Bamna
3/1/2021,Riots,10,55,Kalkini
3/1/2021,Riots,6,15,Kishoreganj
3/1/2021,Riots,6,15,Naogaon
3/1/2021,Riots,12,57,Pirojpur
3/1/2021,Riots,10,55,Amtali
3/1/2021,Riots,6,15,Chittagong
3/1/2021,Riots,6,15,Gazipur
3/1/2021,Riots,6,15,Khulna
3/1/2021,Riots,12,57,Bagha
3/1/2021,Violence against civilians,10,37,Noakhali
3/1/2021,Riots,6,15,Ajmiriganj
3/1/2021,Riots,6,15,Brahmanbaria
3/1/2021,Riots,5,50,Chittagong
3/1/2021,Riots,10,55,Dhaka - Paltan
3/1/2021,Riots,12,57,Dhunat
3/1/2021,Riots,10,55,Kishoreganj
3/1/2021,Riots,10,55,Nandigram
3/1/2021,Riots,6,15,Narayanganj
3/1/2021,Riots,12,57,Rajshahi
3/1/2021,Riots,6,15,Siddhirganj
3/1/2021,Riots,6,15,Sirajdikhan
3/1/2021,Riots,6,15,Sylhet
3/1/2021,Riots,12,57,Mohammadpur
3/1/2021,Riots,12,57,Mirsharai
3/1/2021,Riots,12,57,Mymensingh
3/1/2021,Riots,6,15,Mymensingh
3/1/2021,Riots,10,55,Sylhet
3/1/2021,Violence against civilians,11,47,Shailkupa
3/1/2021,Riots,12,57,Talsahar
3/1/2021,Violence against civilians,10,37,Barisal
3/1/2021,Riots,6,15,Sarail
3/1/2021,Riots,6,15,Kulaura
3/1/2021,Riots,6,15,Dhaka
3/1/2021,Riots,6,15,Brahmanbaria
3/1/2021,Riots,6,15,Habiganj
3/1/2021,Riots,6,15,Faridpur
3/1/2021,Riots,6,15,Sylhet
3/1/2021,Riots,12,57,Shalikha
3/1/2021,Riots,12,57,Dhaka
3/1/2021,Riots,5,50,Brahmanbaria
3/1/2021,Riots,6,15,Dhaka - Paltan
3/1/2021,Riots,6,15,Hathazari
3/1/2021,Riots,10,55,Sarail
3/1/2021,Riots,6,15,Dhaka - Motijheel
3/1/2021,Riots,10,55,Santhia
3/1/2021,Riots,12,57,Dhaka
3/1/2021,Violence against civilians,10,37,Dhaka - Dakshinkhan
3/1/2021,Riots,12,57,Dhaka - Dakshinkhan
3/1/2021,Explosions/Remote violence,10,37,Gaibandha
3/1/2021,Riots,12,57,Munshiganj
3/1/2021,Riots,10,55,Sirajganj
3/1/2021,Violence against civilians,11,47,Bagha
3/1/2021,Riots,10,55,Singpur
3/1/2021,Riots,10,55,Chauhali
3/1/2021,Riots,12,57,Chuadanga
3/1/2021,Riots,10,55,Chhatak
3/1/2021,Riots,12,57,Sirajdikhan
3/1/2021,Riots,10,55,Bauphal
3/1/2021,Riots,12,57,Dharmapasha
3/1/2021,Violence against civilians,15,78,Fultala
3/1/2021,Riots,10,55,Tazumuddin
3/1/2021,Riots,6,15,Kushtia
3/1/2021,Riots,12,57,Char Dighaldi
3/1/2021,Violence against civilians,10,37,Comilla
3/1/2021,Riots,10,55,Dhaka
3/1/2021,Riots,12,57,Ranisankail
3/1/2021,Riots,12,57,Pirojpur
3/1/2021,Battles,6,33,Bagerhat
3/1/2021,Riots,12,57,Boalmari
3/1/2021,Violence against civilians,10,37,Boalmari
3/1/2021,Riots,10,55,Kahaloo
3/1/2021,Riots,12,57,Sulla
3/1/2021,Riots,10,55,Chittagong
3/1/2021,Riots,10,55,Shariatpur
3/1/2021,Violence against civilians,10,37,Chhinai
3/1/2021,Riots,6,15,Dhaka - Tejgaon
3/1/2021,Riots,12,57,Jibannagar
3/1/2021,Riots,6,15,Matlab Uttar
3/1/2021,Violence against civilians,10,37,Gurudaspur
3/1/2021,Riots,10,55,Shariatpur
3/1/2021,Battles,8,44,Teknaf
3/1/2021,Riots,12,57,Dhaka - Tejgaon
3/1/2021,Riots,10,55,Kasba
3/1/2021,Riots,10,55,Derai
3/1/2021,Riots,10,55,Raipura
3/1/2021,Riots,12,57,Chandpur
3/1/2021,Riots,12,57,Kaliakair
3/1/2021,Riots,10,55,Satmatha
3/1/2021,Riots,6,15,Narayanganj
3/1/2021,Battles,6,33,Basurhat
3/1/2021,Riots,12,57,Basurhat
3/1/2021,Violence against civilians,10,37,Abhaynagar
3/1/2021,Riots,10,55,Chittagong
3/1/2021,Riots,12,57,Barisal
3/1/2021,Riots,10,55,Gauripur
3/1/2021,Riots,10,55,Kasba
3/1/2021,Riots,10,55,Chapai Nababganj
3/1/2021,Riots,10,55,Chittagong
3/1/2021,Violence against civilians,10,37,Singair
3/1/2021,Riots,10,55,Ashulia
3/1/2021,Violence against civilians,10,37,Satkania
3/1/2021,Riots,10,55,Amtali
3/1/2021,Riots,12,57,Rangunia
2/1/2021,Riots,6,15,Dhaka - Paltan
2/1/2021,Riots,10,55,Saidpur
2/1/2021,Riots,12,57,Charghat
2/1/2021,Riots,10,55,Kaliganj
2/1/2021,Riots,10,55,Tarash
2/1/2021,Riots,10,55,Bagha
2/1/2021,Riots,6,15,Dhaka
2/1/2021,Riots,12,57,Gobindaganj
2/1/2021,Riots,12,57,Satkania
2/1/2021,Violence against civilians,10,37,Baghaichhari
2/1/2021,Riots,10,55,Barisal
2/1/2021,Riots,12,57,Morrelganj
2/1/2021,Riots,12,57,Magura
2/1/2021,Riots,12,57,Bogra
2/1/2021,Riots,10,55,Madaripur
2/1/2021,Riots,12,57,Gazipur
2/1/2021,Battles,8,44,Kotalipara
2/1/2021,Battles,6,33,Basurhat
2/1/2021,Violence against civilians,10,37,Barisal
2/1/2021,Riots,5,50,Barisal
2/1/2021,Riots,12,57,Manirampur
2/1/2021,Riots,6,15,Sylhet
2/1/2021,Riots,10,55,Barisal
2/1/2021,Riots,12,57,Comilla
2/1/2021,Violence against civilians,15,78,Bakshiganj
2/1/2021,Riots,12,57,Madaripur
2/1/2021,Violence against civilians,10,37,Pabna
2/1/2021,Riots,10,55,Patiya
2/1/2021,Battles,6,33,Sonaimuri
2/1/2021,Riots,10,55,Lalmonirhat
2/1/2021,Riots,12,57,Matiranga
2/1/2021,Riots,10,55,Noahata
2/1/2021,Riots,10,55,Kalihati
2/1/2021,Battles,6,33,Chandanaish
2/1/2021,Riots,10,55,Charghat
2/1/2021,Riots,6,15,Dhaka - Paltan
2/1/2021,Riots,12,57,Nakla
2/1/2021,Riots,12,57,Barisal
2/1/2021,Riots,10,55,Alamdanga
2/1/2021,Riots,12,57,Daganbhuiyan
2/1/2021,Riots,10,55,Ranisankail
2/1/2021,Violence against civilians,10,37,Teknaf
2/1/2021,Riots,12,57,Barisal
2/1/2021,Riots,6,15,Dhaka - Paltan
2/1/2021,Riots,10,55,Bogra
2/1/2021,Riots,12,57,Thakurgaon
2/1/2021,Violence against civilians,10,37,Dhaka - Lalbagh
2/1/2021,Riots,10,55,Gopalpur
2/1/2021,Riots,10,55,Basail
2/1/2021,Riots,10,55,Kalkini
2/1/2021,Riots,12,57,Katiadi
2/1/2021,Riots,12,57,Manirampur
2/1/2021,Riots,10,55,Mirzaganj
2/1/2021,Riots,12,57,Chirirbandar
2/1/2021,Riots,12,57,Tahirpur
1/1/2021,Riots,5,50,Dhaka - Mirpur
1/1/2021,Riots,10,55,Manirampur
1/1/2021,Riots,10,55,Gauripur
1/1/2021,Riots,12,57,Barura
1/1/2021,Riots,12,57,Feni
